typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,price_per_kg_usd
C,M,20230301,2023,3,202303,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,37.0,False,8,kg,37.0,False,37.0,False,0,False,,2145.862,2145.862,0,False,True,57.99627027027027
C,M,20230401,2023,4,202304,56,BEL,Belgium,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1100.0,False,8,kg,1100.0,False,1100.0,False,0,False,,35041.62,35041.62,0,True,False,31.856018181818182
C,M,20230401,2023,4,202304,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,160.0,False,8,kg,160.0,False,160.0,False,0,False,,4272.954,4272.954,0,False,True,26.7059625
C,M,20230501,2023,5,202305,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60.0,False,8,kg,60.0,False,60.0,False,0,False,,1603.528,1603.528,0,False,True,26.725466666666666
C,M,20230701,2023,7,202307,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,240.0,False,8,kg,240.0,False,240.0,False,0,False,,6239.273,6239.273,0,False,True,25.996970833333332
C,M,20230801,2023,8,202308,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31.492,True,-1,,0.0,False,31.492,True,0,False,,3470.111,3470.111,6,True,False,110.190238790804
C,M,20231101,2023,11,202311,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16.0,False,8,kg,16.0,False,16.0,False,0,False,,455.596,455.596,0,False,True,28.47475
C,M,20231201,2023,12,202312,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31.0,False,8,kg,31.0,False,31.0,False,0,False,,1783.807,1783.807,0,False,True,57.54216129032258
C,M,20231201,2023,12,202312,792,TUR,Türkiye,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150.0,False,8,kg,150.0,False,150.0,False,0,False,,2889.0,2889.0,0,False,True,19.26
C,M,20240101,2024,1,202401,208,DNK,Denmark,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,True,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,704.0,False,8,kg,704.0,False,704.0,False,0,False,,58218.179,58218.179,0,True,False,82.69627698863636
