period,banana_price_ngn,milk_price_ngn,sugar_price_ngn,banana_price_usd,milk_price_usd,sugar_price_usd
202201,159.6153846153846,3988.4615384615386,543.1111111111111,0.3865384615384615,9.638461538461538,1.3111111111111111
202202,181.6239316239316,3421.875,557.5,0.43589743589743585,8.239062500000001,1.3425
202203,204.67455621301772,8155.0,538.0,0.4917159763313609,19.6275,1.2955555555555556
202204,183.07692307692307,16554.166666666668,608.2222222222222,0.44230769230769224,39.983333333333334,1.468888888888889
202205,213.2967032967033,62250.0,640.8571428571429,0.5131868131868131,150.08333333333334,1.542857142857143
202302,216.7307692307692,4346.153846153846,832.25,0.47179487179487173,9.444230769230769,1.81
202303,199.6153846153846,3712.5,835.4285714285714,0.433076923076923,8.070833333333333,1.8142857142857143
202304,233.56643356643355,4388.888888888889,832.0,0.5076923076923077,9.541666666666666,1.81
202305,229.3846153846154,4905.0,858.0,0.4976923076923077,10.6625,1.87
202306,258.9423076923077,5033.114473684211,976.66625,0.42451923076923076,8.246052631578948,1.60125
202307,282.77179487179484,5355.580555555555,1021.7584615384616,0.3641025641025641,6.913888888888889,1.316923076923077
202308,274.3290598290598,5536.586904761904,1153.9707692307693,0.36153846153846153,7.294047619047619,1.52
202309,253.44023668639053,5499.621875,1270.0042857142857,0.33076923076923076,7.1656249999999995,1.6514285714285715
202310,266.4239316239316,5850.017307692308,1350.0906666666667,0.34786324786324785,7.633653846153846,1.7586666666666666
202311,273.4059829059829,5831.385294117647,1491.8483333333334,0.32307692307692304,6.91764705882353,1.7716666666666665
202312,205.19230769230768,7045.0,1523.2959999999998,0.25961538461538464,8.929166666666667,1.9240000000000002
202401,252.75739644970415,7209.991666666667,1848.6366666666665,0.29289940828402367,8.333333333333334,2.1377777777777776
202402,333.7319526627219,7277.953333333334,2000.6928571428573,0.22071005917159764,4.8,1.3214285714285714
202403,386.5804195804196,8054.359090909091,2237.24,0.24055944055944056,4.997727272727273,1.392
202404,333.1884615384615,8334.01875,1973.9366666666665,0.2884615384615385,7.225,1.71
202405,402.35076923076923,8248.04423076923,2093.3540000000003,0.2646153846153846,5.4192307692307695,1.3780000000000001
202406,413.0316239316239,8129.421428571428,2037.3533333333335,0.27692307692307694,5.45,1.3633333333333333
202407,429.9,10094.324999999999,2057.42,0.2692307692307692,6.316666666666666,1.29
202408,409.84230769230766,9508.47,2095.4866666666667,0.2551282051282051,5.97,1.3133333333333332
202409,404.3779487179487,9285.398863636363,2486.8720000000003,0.24923076923076923,5.70909090909091,1.532
202410,463.7282051282051,8376.218421052632,10998.774000000001,0.2841025641025641,5.125263157894737,6.726999999999999
202411,477.8826923076923,9306.977380952381,11369.972941176471,0.28701923076923075,5.58452380952381,6.8223529411764705
202412,515.1030769230769,10018.599,3097.0128571428572,0.3343589743589744,6.505,2.007142857142857
202501,334.88038461538457,9848.258,2175.8866666666668,0.21534615384615385,6.327999999999999,1.401111111111111
202502,492.76272189349106,10303.50294117647,2247.588,0.32621301775147926,6.825,1.486
202503,575.3007692307692,10208.748076923077,2141.4525,0.3715384615384615,6.588461538461539,1.38
202504,561.0916083916084,9240.480000000001,2086.25,0.34895104895104895,5.753333333333334,1.302
202505,605.9318681318681,9871.473076923077,2176.5835294117646,0.378021978021978,6.167307692307692,1.3576470588235292
202506,582.9989743589744,9481.196739130435,2094.951666666667,0.3774358974358974,6.140217391304348,1.3616666666666666
202507,651.4043956043955,9596.102083333333,2079.649090909091,0.42527472527472526,6.28125,1.3545454545454545
202508,648.0905982905983,9357.949999999999,2048.7975,0.4222222222222222,6.105263157894737,1.33625
202509,657.1408653846154,9714.683653846154,2117.5242857142857,0.4375,6.480769230769231,1.4114285714285715
202510,583.9414529914529,9797.4125,2103.871578947368,0.3978632478632479,6.6850000000000005,1.433684210526316
202511,617.9743589743589,9380.551923076924,2078.37625,0.4289377289377289,6.500961538461539,1.43875
