typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,208,DNK,Denmark,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,296,FALSE,8,kg,296,FALSE,296,FALSE,0,FALSE,,64789.451,64789.451,0,TRUE,FALSE
C,M,20230101,2023,1,202301,251,FRA,France,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50,FALSE,8,kg,50,FALSE,50,FALSE,0,FALSE,,22358.598,22358.598,0,FALSE,TRUE
C,M,20230101,2023,1,202301,276,DEU,Germany,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.273,TRUE,-1,N/A,0,FALSE,1.273,TRUE,0,FALSE,,225.072,225.072,6,FALSE,TRUE
C,M,20230101,2023,1,202301,757,CHE,Switzerland,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,100,FALSE,8,kg,100,FALSE,100,FALSE,0,FALSE,,2392.572,2392.572,0,FALSE,TRUE
C,M,20230201,2023,2,202302,208,DNK,Denmark,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,319,FALSE,8,kg,319,FALSE,319,FALSE,0,FALSE,,84575.541,84575.541,0,TRUE,FALSE
C,M,20230201,2023,2,202302,276,DEU,Germany,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.396,TRUE,-1,N/A,0,FALSE,2.396,TRUE,0,FALSE,,383.601,383.601,6,FALSE,TRUE
C,M,20230201,2023,2,202302,380,ITA,Italy,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30.956,TRUE,-1,N/A,0,FALSE,30.956,TRUE,0,FALSE,,2676.632,2676.632,6,TRUE,FALSE
C,M,20230201,2023,2,202302,699,IND,India,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,223,FALSE,8,kg,223,FALSE,223,FALSE,0,FALSE,,5396.512,5396.512,0,FALSE,TRUE
C,M,20230301,2023,3,202303,208,DNK,Denmark,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,91,FALSE,8,kg,91,FALSE,91,FALSE,0,FALSE,,15958.376,15958.376,0,TRUE,FALSE
C,M,20230301,2023,3,202303,276,DEU,Germany,X,Export,566,NGA,Nigeria,0,W00,World,H6,HS,TRUE,300249,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.659,TRUE,-1,N/A,0,FALSE,2.659,TRUE,0,FALSE,,305.116,305.116,6,FALSE,TRUE
